
                  Name                     Version      Type   
  org-netbeans-swing-outline-RELEASE240  UNKNOWN       maven   
  org-openide-util-RELEASE180            UNKNOWN       maven   
  org-openide-util-lookup-RELEASE180     UNKNOWN       maven   
  org-openide-util-ui-RELEASE240         UNKNOWN       maven   
  p11-kit                                0.25.5-r2     apk     
  p11-kit-trust                          0.25.5-r2     apk     
  pax-utils                              1.3.8-r1      apk     
  pdfbox                                 2.0.24        maven   
  poi                                    5.2.5         maven   
  pop3                                   2.0.3         maven   
  protobuf                               1.35.2        golang  
  scanelf                                1.3.8-r1      apk     
  slf4j-api                              2.0.7         maven   
  smtp                                   2.0.3         maven   
  spring-aop                             6.2.2         maven   
  spring-beans                           6.2.2         maven   
  spring-context                         6.2.2         maven   
  spring-core                            6.2.2         maven   
  spring-expression                      6.2.2         maven   
  spring-jdbc                            6.2.2         maven   
  spring-tx                              6.2.2         maven   
  sse                                    0.1.0         golang  
  ssl_client                             1.37.0-r12    apk     
  stax2-api                              4.2.2         maven   
  stdlib                                 1.24.4        golang  
  sys                                    0.27.0        golang  
  text                                   0.20.0        golang  
  trove4j                                3.0.3         maven   
  truecommons-io                         2.5.0         maven   
  truecommons-key-spec                   2.5.0         maven   
  truecommons-logging                    2.5.0         maven   
  truecommons-services                   2.5.0         maven   
  truecommons-shed                       2.5.0         maven   
  truevfs-comp-zip                       0.14.0        maven   
  txw2                                   4.0.5         maven   
  universal-translator                   0.18.1        golang  
  univocity-parsers                      2.9.1         maven   
  validator                              10.22.1       golang  
  woodstox-core                          7.1.0         maven   
  wsdl4j                                 1.6.3         maven   
  xercesImpl                             2.12.2        maven   
  xml-apis                               1.4.01        maven   
  xml-resolver                           1.2           maven   
  xmlschema-core                         2.3.1         maven   
  xmpbox                                 2.0.24        maven   
  xsdlib                                 2022.7        maven   
  xz                                     1.9           maven   
  yaml.v3                                3.0.1         golang  
  zlib                                   1.3.1-r2      apk     
