
           Name                  Version           Type    
  perl-base               5.36.0-7+deb12u2        deb      
  pip                     24.0                    pypi     
  protobuf                6.31.1                  pypi     
  protobuf                1.36.0                  golang   
  python                  3.11.13                 generic  
  python-dotenv           1.1.1                   pypi     
  readline                8.2-1.3                 deb      
  readline-common         8.2-1.3                 deb      
  sed                     4.9-1                   deb      
  setuptools              65.5.1                  pypi     
  shadow                  1:4.13+dfsg1-1+deb12u1  deb      
  sqlite3                 3.40.1-2+deb12u1        deb      
  sse                     0.1.0                   golang   
  stdlib                  1.24.4                  golang   
  sympy                   1.14.0                  pypi     
  sys                     0.28.0                  golang   
  systemd                 252.38-1~deb12u1        deb      
  sysvinit                3.06-4                  deb      
  sysvinit-utils          3.06-4                  deb      
  tar                     1.34+dfsg-1.2+deb12u1   deb      
  text                    0.21.0                  golang   
  tzdata                  2025b-0+deb12u1         deb      
  universal-translator    0.18.1                  golang   
  usr-is-merged           37~deb12u1              deb      
  usrmerge                37~deb12u1              deb      
  util-linux              2.38.1-5+deb12u3        deb      
  util-linux-extra        2.38.1-5+deb12u3        deb      
  validator               10.23.0                 golang   
  wheel                   0.45.1                  pypi     
  xxhash                  0.8.1-1                 deb      
  xz-utils                5.4.1-1                 deb      
  yaml.v3                 3.0.1                   golang   
  zlib                    1:1.2.13.dfsg-1         deb      
  zlib1g                  1:1.2.13.dfsg-1         deb      
